keywords (sub-indicators),Social Determinant Category,Primary Determinant Analyzed,Secondary Determinant Analyzed 1,Secondary Determinant Analyzed 2,Secondary Determinant Analyzed 3,Title,Year Published,Source,Primary Author,Number of Authors,Associated Research Institution,Author Total Works Count,Research Type,Topic ,Subfield,Field,Domain,Aligned SDG ,Research Locations,Cites,Cited By,Research Method,Research Method Population Scale ,Harm Magnitude,Harm Population Impact ,ID,Cluster
,Food,Access to Healthy Options,Support,Community Engagement,Stress,Childhood Obesity: Trends and Potential Causes,2006,Future of children/The Future of children,Patricia M. Anderson,2,Russian Academy of Sciences,296,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,Good health and well-being,https://doi.org/10.1353/foc.2006.0001,79,620,Case Study,Very Large,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,193,Cluster_3
,Food,Access to Healthy Options,Expenses,Community Engagement,,Physical Activity and Food Environments: Solutions to the Obesity Epidemic,2009,The Milbank quarterly,James F. Sallis,2,Moscow Institute of Thermal Technology,1004,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,No poverty,https://doi.org/10.1111/j.1468-0009.2009.00550.x,107,615,Focus Group,Very Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,195,Cluster_3
,Food,Access to Healthy Options,Employment,Early Childhood,,Food sovereignty in US food movements: radical visions and neoliberal constraints,2012,Agriculture and human values,Alison Hope Alkon,2,University of the Pacific,58,article,Urban Agriculture and Community Development,Plant Science,Agricultural and Biological Sciences,Life Sciences,,https://doi.org/10.1007/s10460-012-9356-z,36,279,Focus Group,Medium,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,196,Cluster_3
,Food,Access to Healthy Options,Playgrounds,Community Engagement,Provider & Pharmacy Availability,Built Environment: Does Poor Housing Raise Diabetes Risk?,2007,Environmental health perspectives,Adrian Burton,1,,36,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,No poverty,https://doi.org/10.1289/ehp.115-a534,,5,Case Study,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,200,Cluster_3
Comparative Analysis of Organic Agricultural Practices,Food,Food,Food,Food,Food,Food,2011,, Alison Hope Alkon,2, University of the Pacific,58,book,Comparative Analysis of Organic Agricultural Practices,Plant Science,Agricultural and Biological Sciences,Life Sciences,Zero hunger,https://muse.jhu.edu/chapter/823011/pdf,54,277,Longitudinal Study,Very Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,152,Cluster_3
Global Trends in Obesity and Overweight Research,Food,Food Security,Parks,Support Systems,Stress,"Incentivizing Fruit and Vegetable Purchasers at Fresh Markets in Lower 9th Ward, New Orleans",2017,Ethnicity & disease, Rashida Ferdinand,5," Newark Museum,",2,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,No poverty,https://doi.org/10.18865/ed.27.s1.287,25,9,Longitudinal Study,Small ,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,153,Cluster_3
Global Trends in Obesity and Overweight Research,Food,Food Security,Expenses,Higher Education,Policing / Justice Policy,"Influence of Race, Ethnicity, and Culture on Childhood Obesity: Implications for Prevention and Treatment",2008,Obesity, Sonia Caprio,8,Yale University,214,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,,https://doi.org/10.1038/oby.2008.398,71,102,Longitudinal Study,Large,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,154,Cluster_3
Urban Agriculture and Community Development,Food,Food Security,Debt,Support Systems,Access to Linguistically & Culturally Appropriate Care,Interventions to improve access to fresh food in vulnerable communities: a review of the literature,2013,International journal on disability and human development, Denise L. Smith,4,"Skidmore College,",268,review,Urban Agriculture and Community Development,Plant Science,Agricultural and Biological Sciences,Life Sciences,No poverty,https://doi.org/10.1515/ijdhd-2013-0203,3,9,Focus Group,Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,155,Cluster_3
Global Oral Health and Dental Caries,Food,Food Security,Expenses,Literacy,Access to Linguistically & Culturally Appropriate Care,The Contribution of Dietary Factors to Dental Caries and Disparities in Caries,2009,Academic pediatrics, Connie Mobley,4, University of Nevada,84,article,Global Oral Health and Dental Caries,Periodontics,Dentistry,Health Sciences,"Zero hunger, No poverty",https://doi.org/10.1016/j.acap.2009.09.008,47,146,Case Study,Very Small,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,159,Cluster_3
Impact of Food Insecurity on Health Outcomes,Food,Food Security,Support,Support Systems,Stress,Qualitative Perceptions of an Anticipated Fresh Food Prescription Program,2022,Health behavior and policy review, Sharon Thomson,8,Wake Forest University,11,article,Impact of Food Insecurity on Health Outcomes,General Health Professions,Health Professions,Health Sciences,Zero hunger,https://doi.org/10.14485/hbpr.9.1.5,18,4,Content Analysis ,Small ,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,160,Cluster_3
Environmental Justice and Inequality in Urban Development,Food,Food Security,Housing,Vocational Training,Exposure to Violence / Trauma,"Guest Editorial: Health, Equity, and the Built Environment",2005,Environmental health perspectives,Howard Frumkin,1,University of Michigan–Ann Arbor,208,editorial,Environmental Justice and Inequality in Urban Development,Sociology and Political Science,Social Sciences,Social Sciences,Sustainable cities and communities,https://doi.org/10.1289/ehp.113-a290,25,121,Controlled Expirement,Small ,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,162,Cluster_3
Governance of Global Value Chains and Production Networks,Food,Food Security,Support,Support Systems,Policing / Justice Policy,"The Rise of Supermarkets in Africa, Asia, and Latin America",2003,American journal of agricultural economics, Thomas Reardon,4,Michigan State University,456,article,Governance of Global Value Chains and Production Networks,Strategy and Management,"Business, Management and Accounting",Social Sciences,,https://doi.org/10.1111/j.0092-5853.2003.00520.x,4,"1,116",Survey ,Large,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,163,Cluster_3
Global Trends in Obesity and Overweight Research,Food,Food Security,Transportation,Literacy,Health Coverage,Disparities and access to healthy food in the United States: A review of food deserts literature,2010,Health and place/Health & place (Online), Rob R. Walker,3, Commonwealth Scientific and Industrial Research Organisation,161,review,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,Zero hunger,https://doi.org/10.1016/j.healthplace.2010.04.013,55,"1,327",Longitudinal Study,Small ,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,164,Cluster_3
Urban Agriculture and Community Development,Food,Food Security,Debt,Support Systems,Stress,Participation in cost-offset community-supported agriculture by low-income households in the USA is associated with community characteristics and operational practices,2022,Public health nutrition, Karla L. Hanson,11, Cornell University,85,article,Urban Agriculture and Community Development,Plant Science,Agricultural and Biological Sciences,Life Sciences,No poverty,https://doi.org/10.1017/s1368980022000908,30,2,Longitudinal Study,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,165,Cluster_3
Impact of Social Factors on Health Outcomes,Food,Food Security,Debt,Higher Education,Stress,Stress and Health: Major Findings and Policy Implications,2010,Journal of health and social behavior/Journal of health & social behavior,Peggy A. Thoits,1, Indiana University Bloomington,77,article,Impact of Social Factors on Health Outcomes,Health,Social Sciences,Social Sciences,Gender equality,https://doi.org/10.1177/0022146510383499,87,"1,572",Longitudinal Study,Very Large,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,166,Cluster_3
Global Trends in Obesity and Overweight Research,Food,Food Security,Transportation,Community Engagement,Provider & Pharmacy Availability,Experiential Cooking and Nutrition Education Program Improves Parameters Related to Cooking at Home in Elementary and Middle School Children,2016,Journal of nutrition education and behavior, Neilé K. Edens,6,Abbott (Canada),62,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,Zero hunger,https://doi.org/10.1016/j.jneb.2016.04.070,,1,Content Analysis ,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,167,Cluster_3
Urban Agriculture and Community Development,Food,Food Security,Income,Language,Policing / Justice Policy,Healthy life community garden: food and neighborhood transformation,2017,Acta horticulturae, Ellen M. Bauske,3, University of Georgia,54,article,Urban Agriculture and Community Development,Plant Science,Agricultural and Biological Sciences,Life Sciences,No poverty,https://doi.org/10.17660/actahortic.2017.1189.75,1,1,Survey ,Very Large,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,170,Cluster_3
Comparative Analysis of Organic Agricultural Practices,Food,Food Security,Transportation,Higher Education,Access to Linguistically & Culturally Appropriate Care,Bringing good food to others: investigating the subjects of alternative food practice,2008,Cultural geographies,Julie Guthman,1, University of California,125,article,Comparative Analysis of Organic Agricultural Practices,Plant Science,Agricultural and Biological Sciences,Life Sciences,Zero hunger,https://doi.org/10.1177/1474474008094315,50,498,Interview,Medium,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,171,Cluster_3
Global Trends in Obesity and Overweight Research,Food,Food Security,Income,Vocational Training,Quality of Care,Neighborhood Disparities in Access to Healthy Foods and Their Effects on Environmental Justice,2012,American journal of public health, Angela Hilmers,3,Training Programs in Epidemiology and Public Health Interventions Network,16,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,,https://doi.org/10.2105/ajph.2012.300865,87,434,Survey ,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,172,Cluster_3
Global Trends in Obesity and Overweight Research,Food,Food Security,Medical Bills,Literacy,Exposure to Violence / Trauma,Targeting Interventions for Ethnic Minority and Low-Income Populations,2006,Future of children/The Future of children,Shiriki Kumanyika,2, University of Pennsylvania,405,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,No poverty,https://doi.org/10.1353/foc.2006.0005,86,458,Controlled Expirement,Medium,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,175,Cluster_3
,Food,Food Security,Housing,Higher Education,Policing / Justice Policy,Impact of Social Determinants of Health on the Emerging COVID-19 Pandemic in the United States,2020,Frontiers in public health,Sravani Singu,4,Northeast Georgia Medical Center,8,article,Impact of Social Factors on Health Outcomes,Health,Social Sciences,Social Sciences,No poverty,https://doi.org/10.3389/fpubh.2020.00406,27,271,Survey ,Very Small,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,183,Cluster_3
,Food,Food Security,Parks,Language,Access to Linguistically & Culturally Appropriate Care,"Food Insecurity, the Home Food Environment, and Parent Feeding Practices in the Era of COVID‐19",2020,Obesity,Elizabeth L. Adams,4,University of South Carolina,111,article,Impact of Food Insecurity on Health Outcomes,General Health Professions,Health Professions,Health Sciences,Zero hunger,https://doi.org/10.1002/oby.22996,40,202,Content Analysis ,Small ,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,185,Cluster_3
,Food,Food Security,Housing,Literacy,Policing / Justice Policy,"Complementary and Alternative Medicine Use Among Adults and Children: United States, 2007",2008,PsycEXTRA Dataset,Patricia M. Barnes,3,National Center for Health Statistics,89,dataset,Herbal Medicine Use and Safety Monitoring,Complementary and alternative medicine,Medicine,Health Sciences,Good health and well-being,https://doi.org/10.1037/e623942009-001,40,2232,Longitudinal Study,Very Large,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,186,Cluster_3
,Food,Food Security,Parks,Walkability,Provider & Pharmacy Availability,Modeling how Prognosis Levels of Kidney Disease in Diabetic African American Males Relate to Factors of Fresh Food Availability and Frequency of Communication with Healthcare Providers,2017,The FASEB journal,Cameron T. Hopkins‐Harrington,3,North Carolina Agricultural and Technical State University,1,article,Impact of Food Insecurity on Health Outcomes,General Health Professions,Health Professions,Health Sciences,,https://doi.org/10.1096/fasebj.31.1_supplement.961.20,,,Secondary Data Analysis ,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,187,Cluster_3
,Food,Food Security,Employment,Early Childhood,Policing / Justice Policy,Environmental Phthalate Exposure and Preterm Birth,2014,JAMA pediatrics,Kelly K. Ferguson,3,National Institute of Environmental Health Sciences,241,article,Endocrine Disruption by Chemical Exposure,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences,Good health and well-being,https://doi.org/10.1001/jamapediatrics.2013.3699,27,296,Survey ,Small ,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,189,Cluster_3
,Food,Food Security,Playgrounds,Vocational Training,Exposure to Violence / Trauma,Theorising environmental justice: the expanding sphere of a discourse,2013,Environmental politics,David Schlosberg,2,University of Sydney,142,article,Environmental Justice and Inequality in Urban Development,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1080/09644016.2013.755387,62,729,Secondary Data Analysis ,Medium,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,191,Cluster_3
,Food,Food Security,Employment,Support Systems,,"Food allergy: A review and update on epidemiology, pathogenesis, diagnosis, prevention, and management",2018,The journal of allergy and clinical immunology/Journal of allergy and clinical immunology/The journal of allergy and clinical immunology,Scott H. Sicherer,2,Icahn School of Medicine at Mount Sinai,705,review,Diagnosis and Management of Food Allergy,Immunology and Allergy,Medicine,Health Sciences,Good health and well-being,https://doi.org/10.1016/j.jaci.2017.11.003,221,1137,Controlled Expirement,Large,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,194,Cluster_3
,Food,Food Security,Parks,Support Systems,,"Healthful eating: perceptions, motivations, barriers, and promoters in low-income minnesota communities",2004,Journal of the American Dietetic Association,Nicole Eikenberry,2,University of Minnesota,5,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,No poverty,https://doi.org/10.1016/j.jada.2004.04.023,9,192,Secondary Data Analysis ,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,197,Cluster_3
,Food,Food Security,Support,Language,Exposure to Violence / Trauma,"Culturing community development, neighborhood open space, and civic agriculture: The case of Latino community gardens in New York City",2004,Agriculture and human values,Laura Saldivar-tanaka,2,College of Mexico,3,article,Urban Agriculture and Community Development,Plant Science,Agricultural and Biological Sciences,Life Sciences,Zero hunger,https://doi.org/10.1023/b:ahum.0000047207.57128.a5,17,412,Controlled Expirement,Small ,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,198,Cluster_3
,Food,Food Security,Debt,Literacy,Policing / Justice Policy,"Growing what you eat: Developing community gardens in Baltimore, Maryland",2011,Applied geography,Michelle P. Corrigan,1,Ohio University,2,article,Urban Agriculture and Community Development,Plant Science,Agricultural and Biological Sciences,Life Sciences,Zero hunger,https://doi.org/10.1016/j.apgeog.2011.01.017,35,199,Longitudinal Study,Small ,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,199,Cluster_3
Economics of Health Care Systems and Policies,Healthcare Access,Access to Linguistically & Culturally Appropriate Care,Expenses,Literacy,Policing / Justice Policy,Understanding Health Inequalities for Uninsured Americans: A Population-wide Survey,2007,Journal of health communication,Pauline Hope Cheong,3,Arizona State University,99,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,,https://doi.org/10.1080/10810730701266430,29,12,Survey ,Very Small,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,261,Cluster_5
Mental Health of Refugees and Immigrants,Healthcare Access,Access to Linguistically & Culturally Appropriate Care,Parks,Food Security,Support Systems,Longitudinal Changes in Access to Health Care by Immigrant Status Among Older Adults: The Importance of Health Insurance as a Mediator,2010,The gerontologist/The Gerontologist,Seokheun Choi,1,Binghamton University,302,article,Mental Health of Refugees and Immigrants,Clinical Psychology,Psychology,Social Sciences,Decent work and economic growth,https://doi.org/10.1093/geront/gnq064,37,36,Focus Group,Small ,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,265,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Access to Linguistically & Culturally Appropriate Care,Playgrounds,Higher Education,Exposure to Violence / Trauma,Health Insurance and Young Adults: An Analysis Using the NLSY,2010,Atlantic economic journal,Mark Gius,1,Quinnipiac University,75,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,Decent work and economic growth,https://doi.org/10.1007/s11293-010-9228-0,,2,Secondary Data Analysis ,Small ,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,271,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Access to Linguistically & Culturally Appropriate Care,Income,Education,Exposure to Violence / Trauma,Health Insurance Coverage and Medical Care Utilization Among Working-Age Americans with Visual Impairment,1994,Ophthalmic epidemiology,Yen-Pin Chiang,3,Agency for Healthcare Research and Quality,7,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,,https://doi.org/10.3109/09286589409071444,7,8,Case Study,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,274,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Access to Linguistically & Culturally Appropriate Care,Housing,Higher Education,Support Systems,Can States Lead the Way to Universal Coverage? The Effect of Health‐Care Reform on the Uninsured*,2009,Social science quarterly,Ben Lennox Kail,3,Georgia State University,51,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,Partnerships for the goals,https://doi.org/10.1111/j.1540-6237.2009.00658.x,34,11,Longitudinal Study,Very Large,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,275,Cluster_5
,Healthcare Access,Access to Linguistically & Culturally Appropriate Care,Employment,Literacy,,National health insurance system for universal health coverage: prospects and challenges in Saudi Arabia,2019,International journal of community medicine and public health/International journall of community medicine and public health,Mohammad Faleh Alharbi,1,Qassim University,10,article,Financing of Health Care Systems and Universal Coverage,Finance,"Economics, Econometrics and Finance",Social Sciences,Partnerships for the goals,https://doi.org/10.18203/2394-6040.ijcmph20194630,29,2,Focus Group,Medium,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,287,Cluster_5
,Healthcare Access,Access to Linguistically & Culturally Appropriate Care,Medical Bills,Social Integration,,The Impacts Of A Free Health Insurance Policy In Vietnam,2021,,Khoa Truong An Nguyen,1,Interfaith Medical Center,,dissertation,Financing of Health Care Systems and Universal Coverage,Finance,"Economics, Econometrics and Finance",Social Sciences,Decent work and economic growth,https://doi.org/10.26686/wgtn.17152013.v1,137,,Secondary Data Analysis ,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,293,Cluster_5
Epidemiology and Management of Stroke,Healthcare Access,Health Coverage,Expenses,Walkability,Support Systems,Does race matter in universal healthcare?,2018,Ethnicity & health,Matthew Holtkamp,1,,,article,Epidemiology and Management of Stroke,Epidemiology,Medicine,Health Sciences,Good health and well-being,https://doi.org/10.1080/13557858.2018.1455810,15,6,Case Study,Very Small,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,252,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Health Coverage,Housing,Literacy,Support Systems,Switching Health Insurance and Its Effects on Access to Physician Services,2008,Medical care,Shana Alex Lavarreda,5," University of California, Los Angeles",31,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,No poverty,https://doi.org/10.1097/mlr.0b013e318187d8db,19,43,Longitudinal Study,Large,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,257,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Health Coverage,Playgrounds,Early Childhood,Policing / Justice Policy,Who Are the Uninsured Elderly in the United States?,2004,Journal of the American Geriatrics Society,James W. Mold,3,University of Oklahoma Health Sciences Center,163,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,No poverty,https://doi.org/10.1111/j.1532-5415.2004.52169.x,15,37,Survey ,Large,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,258,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Health Coverage,Expenses,Education,Stress,Health Insurance Literacy Health Status And Concerns About Affordability Of Health Insurance Near Retirement,2019,Innovation in aging,Aaron M. Scherer,8,University of Iowa,119,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,Quality education,https://doi.org/10.1093/geroni/igz038.042,,,Survey ,Very Large,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,259,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Health Coverage,Debt,Walkability,Exposure to Violence / Trauma,Insurance Expansions: Do They Hurt Those They Are Designed To Help?,2007,Health affairs,Barak D. Richman,1,George Washington University,174,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,No poverty,https://doi.org/10.1377/hlthaff.26.5.1345,2,9,Secondary Data Analysis ,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,262,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Health Coverage,Expenses,Language,Exposure to Violence / Trauma,Who Is at Risk of Losing and Gaining Health Insurance?,2009,Industrial relations,Robert W. Fairlie,2,"University of California, Santa Cruz",410,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,Decent work and economic growth,https://doi.org/10.1111/j.1468-232x.2009.00558.x,22,6,Interview,Large,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,264,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Health Coverage,Support,Language,Policing / Justice Policy,Perceived Health Status and Health Insurance Status: Protective Factors Against Health-Related Debt?,2013,Social work in health care,Kameri Christy,4,University of Arkansas at Fayetteville,13,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,Decent work and economic growth,https://doi.org/10.1080/00981389.2012.742481,10,1,Case Study,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,273,Cluster_5
,Healthcare Access,Health Coverage,Employment,Walkability,,Awareness and Willingness to Enroll for Health Insurance in A Rural Population in Southern India,2018,Value in health,Bhageerathy Reshmi,2,Manipal Academy of Higher Education,48,article,Financing of Health Care Systems and Universal Coverage,Finance,"Economics, Econometrics and Finance",Social Sciences,Decent work and economic growth,https://doi.org/10.1016/j.jval.2018.07.461,,,Interview,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,285,Cluster_5
,Healthcare Access,Health Coverage,Parks,Early Childhood,,ACA Exchange Competitiveness In Texas,2017,Risk management and insurance review,Michael A. Morrisey,2,University of Georgia,212,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,,https://doi.org/10.1111/rmir.12075,,,Case Study,Large,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,286,Cluster_5
,Healthcare Access,Health Coverage,Playgrounds,Vocational Training,,Medicaid as a Safeguard for Financial Health,2019,JAMA,Aaron E. Carroll,1,AcademyHealth,487,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,,https://doi.org/10.1001/jama.2018.20427,,,Controlled Expirement,Small ,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,291,Cluster_5
Impact of Health Literacy on Health Outcomes,Healthcare Access,Provider & Pharmacy Availability,Transportation,Vocational Training,Support Systems,Knowledge of Health Insurance Terminology and Details Among the Uninsured,2013,Medical care research and review,Mary C. Politi,6,Washington University in St. Louis,187,article,Impact of Health Literacy on Health Outcomes,General Health Professions,Health Professions,Health Sciences,Quality education,https://doi.org/10.1177/1077558713505327,19,51,Longitudinal Study,Very Large,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,251,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Provider & Pharmacy Availability,Expenses,Access to Healthy Options,Policing / Justice Policy,"Race, Ethnicity and the Dynamics of Health Insurance Coverage",2008,Social Science Research Network,Robert W. Fairlie,2,"University of California, Santa Cruz",410,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,Decent work and economic growth,https://doi.org/10.2139/ssrn.1278908,,2,Interview,Very Small,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,253,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Provider & Pharmacy Availability,Housing,Food Security,Policing / Justice Policy,Effects of Health Insurance on African American Patients with Chronic Kidney Disease,2005,Journal of investigative medicine,Otis Gowdy,2,University of Mississippi Medical Center,11,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,Decent work and economic growth,https://doi.org/10.1177/1081558905053001897,,,Controlled Expirement,Small ,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,254,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Provider & Pharmacy Availability,Debt,Early Childhood,Exposure to Violence / Trauma,The Affordable Care Act's Impacts on Access to Insurance and Health Care for Low-Income Populations,2017,Annual review of public health,Gerald F. Kominski,3,UCLA Health,174,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,No poverty,https://doi.org/10.1146/annurev-publhealth-031816-044555,81,129,Survey ,Small ,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,256,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Provider & Pharmacy Availability,Income,Vocational Training,Support Systems,Considering health insurance: how do dialysis initiates with Medicaid coverage differ from persons without Medicaid coverage?,2009,"Nephrology, dialysis, transplantation/Nephrology dialysis transplantation",James B. Wetmore,5,Hennepin Healthcare Research Institute,123,article,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,Decent work and economic growth,https://doi.org/10.1093/ndt/gfp396,36,17,Content Analysis ,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,260,Cluster_5
Economics of Health Care Systems and Policies,Healthcare Access,Provider & Pharmacy Availability,Employment,Language,Policing / Justice Policy,Health Insurance Availability and Entrepreneurship,2010,,Philip DeCicca,1,McMaster University,96,report,Economics of Health Care Systems and Policies,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,Decent work and economic growth,https://doi.org/10.17848/wp10-167,17,18,Secondary Data Analysis ,Very Large,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,267,Cluster_5
Financing of Health Care Systems and Universal Coverage,Healthcare Access,Provider & Pharmacy Availability,Playgrounds,Walkability,Community Engagement,The Rise in Health Care Coverage and Affordability Since Health Reform Took Effect (Biennial 2014),2015,,Sara R. Collins,4,University of Michigan–Ann Arbor,182,report,Financing of Health Care Systems and Universal Coverage,Finance,"Economics, Econometrics and Finance",Social Sciences,,https://doi.org/10.15868/socialsector.25023,,8,Controlled Expirement,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,268,Cluster_5
